Model,CV Macro F1 Ortalama,CV Macro F1 Standart Sapma,Test Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1,Test Weighted F1,Yaklaşık Parametre Sayısı
Logistic Regression,0.5866577609764121,0.010430794136203415,0.591875,0.5864824797816858,0.5918749999999999,0.5878401951710843,0.5878401951710842,224008
Linear SVM,0.5696965209590654,0.012581127247458808,0.5825,0.5720264365972433,0.5825,0.5748159521902924,0.5748159521902924,224008
Complement Naive Bayes,0.5459702266257718,0.010940945722079284,0.57,0.564697809705416,0.5700000000000001,0.5402195694147354,0.5402195694147354,224008
