Model,CV Macro F1 Ortalama,CV Macro F1 Standart Sapma,Bağımsız Test Accuracy,Bağımsız Test Macro Precision,Bağımsız Test Macro Recall,Bağımsız Test Macro F1,Bağımsız Test Weighted F1,Yaklaşık Parametre Sayısı
Logistic Regression,0.9639567509053675,0.004315058590096256,0.7656565656565657,0.7896634090155487,0.7656565656565657,0.7566269703605872,0.7566269703605873,444015
Linear SVM,0.9620838145897433,0.008456594697079675,0.7737373737373737,0.7961156535620976,0.7737373737373738,0.7676377725820325,0.7676377725820324,444015
Complement Naive Bayes,0.929085102863759,0.007083108023635677,0.6888888888888889,0.728537886158207,0.6888888888888888,0.6779103305496684,0.6779103305496683,444015
